realDonaldTrump_tweet,realDonaldTrump_date,JustinTrudeau_tweet,JustinTrudeau_date
"The Democrats will do anything to avoid a trial in the Senate in order to protect Sleepy Joe Biden, and expose the millions and millions of dollars that “Where’s” Hunter, & possibly Joe, were paid by companies and countries for doing NOTHING. Joe wants no part of this mess!",2019-12-31,"Le temps des Fêtes est à nos portes, et nous pensons à nos militaires en service ici au Canada et à l’étranger. Vous donnez tant à notre pays et au reste du monde… merci pour tout.",2019-12-21
"Our prayers are with the families of the victims and the congregation of yesterday’s church attack. It was over in 6 seconds thanks to the brave parishioners who acted to protect 242 fellow worshippers. Lives were saved by these heroes, and Texas laws allowing them to carry arms!",2019-12-31,"Prince Harry, Meghan, and Archie, we’re all wishing you a quiet and blessed stay in Canada. You’re among friends, and always welcome here.",2019-12-21
"He is Fake News, will always be Fredo to us. I should release some of his dishonest interviews? Coupled with bad ratings, he’d be out!",2019-12-30,"Au Prince Harry, à Meghan et à Archie : nous vous souhaitons un séjour plaisant et paisible au Canada. Vous êtes entre amis ici, et vous êtes toujours les bienvenus.",2019-12-21
Thank you to highly respected Jewish leader Dov Hikind for his wonderful statements about me this morning on @foxandfriends.,2019-12-30,"Important news for Ontarians today: this new Canada Housing Benefit agreement means we’re investing in safe, secure, and affordable housing for low-income families in Ontario.",2019-12-19
"The anti-Semitic attack in Monsey, New York, on the 7th night of Hanukkah last night is horrific. We must all come together to fight, confront, and eradicate the evil scourge of anti-Semitism. Melania and I wish the victims a quick and full recovery.",2019-12-29,"Nouvelle importante pour les Ontariens : grâce à la nouvelle Allocation canadienne pour le logement, on investit dans des logements sûrs et abordables pour les familles à faible revenu de l’Ontario.",2019-12-19
Crazy Nancy Pelosi should spend more time in her decaying city and less time on the Impeachment Hoax!,2019-12-29,"I had a good phone conversation with Prime Minister @MarinSanna of Finland today, focused on our shared priorities like promoting equality, fighting climate change, and supporting open trade. Congratulations again on your election, Sanna.",2019-12-19
Any answers Nancy?,2019-12-29,"J'ai eu un bon entretien aujourd'hui avec la PM @MarinSanna de la Finlande sur nos priorités communes : promotion de l'égalité, lutte contre les changements climatiques et soutien du libre-échange. Félicitations encore une fois pour votre élection, Sanna.",2019-12-19
Tremendous Spirit!,2019-12-29,Folks at the Magasin-Partage in Villeray are putting the spirit of Christmas into practice with food and help for families in Montreal who need it most. Thank you for everything you’re doing to give back to our community!,2019-12-19
Thank you Joe. So good for our workers!,2019-12-28,L’équipe du Magasin-Partage Villeray est tout à fait dans l’esprit de Noël : elle offre nourriture et aide aux familles de Montréal qui en ont le plus besoin. Merci de tout ce que vous faites pour redonner à notre communauté!,2019-12-19
Thank you Juliet!,2019-12-28,"Thanks to PM Allan Chastanet of Saint Lucia for the meeting in Ottawa today. We focused on our trade ties, action against climate change, and how Canada can continue being a champion for @CARICOMorg &amp; small island developing states.",2019-12-18
A Dirty Cop at the highest level. Scum!,2019-12-28,"Merci au PM Allan Chastanet de Sainte-Lucie pour la discussion d'aujourd'hui à Ottawa sur nos liens commerciaux, la lutte contre les changements climatiques et la façon de continuer à défendre les intérêts de la @CARICOMorg et des petits États insulaires en développement.",2019-12-18
Thank you Adriana!,2019-12-28,Got a sneak preview with some friends and fellow Star Wars fans from @CHEOhospital tonight. Our review? We loved #TheRiseOfSkywalker!,2019-12-18
"So sad to see that New York City and State are falling apart. All they want to do is investigate to make me hate them even more than I should. Governor Cuomo has lost control, and lost his mind. Very bad for the homeless and all!",2019-12-28,Ce soir : le nouveau Star Wars en primeur avec des amis et d'autres fans du @CHEOhospital. Notre critique? On a adoré #LAscensiondeSkywalker!,2019-12-18
I want to thank Rush Limbaugh for the tremendous support he has given to the MAKE AMERICA GREAT AGAIN Movement and our KEEP AMERICA GREAT Agenda! He is a major star who never wavered despite the Fake News Hits he has had to endure. His voice is far bigger than theirs!,2019-12-28,"Had a good call with PM @BorisJohnson today, to congratulate him on his recent re-election and talk about the Canada-UK trade relationship, and our work on addressing the climate crisis &amp; supporting girls’ education around the world. Read more on our call:",2019-12-17
"California and New York must do something about their TREMENDOUS Homeless problems. They are setting records! If their Governors can’t handle the situation, which they should be able to do very easily, they must call and “politely” ask for help. Would be so easy with competence!",2019-12-28,J’ai appelé le PM du Royaume-Uni @BorisJohnson aujourd’hui pour le féliciter de sa réélection et pour discuter de notre relation commerciale et du travail qu’on fait pour résoudre la crise climatique et appuyer l’éducation des filles dans le monde. Plus :,2019-12-17
The Wall is funded & being built!,2019-12-28,"Our economy is strong & growing and we’re on track to have the 2nd fastest growing economy in the G7, the best wage growth in 10 years & the lowest unemployment in 40. We’ll keep investing in you & your family, to make life better & more affordable. More: https://bit.ly/2YYut5B",2019-12-16
